Name,Postcode,Address,phoneNumber,Email,Lat,Lng,TractorsId
A B Wight Engineering, TD6 0HH,Charlesfield Industrial Estate St Boswells Melrose - Scottish Borders TD6 0HH,01835 824890 ,sales@abwight.co.uk,55.5709505,-2.6394438,5
A Downing Agricultural Engineers,PE13 4NR,Carlton Farm Cattle Dyke Gorefield Wisbech - Cambridgeshire PE13 4NR,01945 410099 ,andrew@adowningengineers.co.uk,52.6863001,0.093693,5
A.F. Wiltshire (Dunsfold) Ltd, GU8 4NP,Alfold Road Godalming - Surrey GU8 4NP,01483 200516 ,laurabrown@afwiltshire.co.uk,51.111699,-0.5634068,5
Adcock Agri Ltd,NA,Unit 19 Lubards Farm Radleigh Southend-On-Sea - Essex,01268 655988 ,Adcock Agri Ltd,51.6064643,0.610275,5
Agriplus Ltd, TS9 5GB,Unit 9 Rosedale Court Ellerbeck Way Stokesley - North Yorkshire TS9 5GB,01642 712965 ,accounts@agriplusltd.co.uk,54.4607916,-1.1798069,5
Argyll Engineers,PA34 4BH,Glenshellach Road Oban - Argyll & Bute PA34 4BH,01631 565011 ,info@argyllagricultural.co.uk,56.4082796,-5.4785296,5
Arwel’s Agri Services Ltd,SA19 8DS,Troedrhiw Harford Llanwdra - Carmarthenshire SA19 8DS,01558 650614 ,arwelagri@hotmail.co.uk,52.0712489,-3.9823522,5
Balgownie Ltd,AB51 5GT,9 Camiestone Road Inverurie - AB51 5GT,01467 621493 ,info@balgownieltd.co.uk,57.25454298,-2.377978602,5
Barron Machinery Ltd,NA,Ratnure Enniscorthy - Co. Wexford,+353 539255240 ,barronmachinery@gmail.com,52.5031135,-6.5727721,5
Byrne Tractor and Machinery Sales Ltd,E53 VR44,The Grange Templemore Road Roscrea - Co. Tipperary E53 VR44,+353 50521333 ,byrnemachinery@eircom.net,52.33846,-7.82972,5
Catley Engineering, LE9 7RB,New Farm Desford Lane Peckleton - Leicestershire. LE9 7RB,01455 698087 ,colin@catleyengineering.co.uk,52.6345462,-1.2772253,5
Curtis & Shaw (Sussex) Ltd,BN27 4JE,Cowbeech Hailsham - East Sussex BN27 4JE,01323 833441 ,group@curtisandshaw.co.uk,50.9038141,0.2950083,5
David Eaton Tractors Ltd,ST18 0HA,Stone Road Fradswell Stafford - Staffordshire ST18 0HA,01889 502422 ,m.eaton@davideaton-tractors.co.uk,52.8922776,-1.9952445,5
Dovey Ltd,SO42 7YP,Lynwood Culverley Farm Lyndhurst Road Beaulieu - Hampshire SO42 7YP,01590 611095 ,info@doveyltd.co.uk,50.8435934,-1.4769527,5
Gammies Groundcare, DD8 3BT,Station Yard Carseview Road Forfar - Angus DD8 3BT,01307 468556 ,gedwards@gammies.co.uk,56.6517716,-2.8828867,5
H Fulton Tractors Ltd,BT47 4PR,Oak Lodge 68 Dernaflaw Road Dungiven - Derry/Londonderry BT47 4PR,028 7774 1704 ,howard@hfultontractors.com,54.9308865,-6.9733835,5
Hamilton Tractors (Carnwath) Ltd,ML11 8HU,Peebles Road Carnwath - Lanarkshire ML11 8HU,01555 840513 ,david@hamiltontractors.com,55.7008369,-3.6148143,5
HJR Agri (Oswestry) Ltd,SY11 4LS,Aston Enterprise Park Aston Oswestry - Shropshire SY11 4LS,01691 610177 ,hjragri@btconnect.com,52.8449174,-3.0046908,5
Horsepower UK Ltd,ME13 9QN,Unit 2 Owens Court Farm Faversham - Kent ME13 9QN,01233 226284 ,sales@horsepoweragri.co.uk,51.2845647,0.9057329,5
J Charnley & Sons, PR6 8NY,Marsh Lane Brindle Chorley - Lancashire PR6 8NY,01254 854103 ,james@charnleys.com,53.7101687,-2.5978728,5
John Drysdale Agricultural Engineers,KY13 9HN,Parkhouse Farm Kinneswood Kelso - Perthshire KY13 9HN,01592 840686 ,drysdale.tractors@virgin.net,56.2119597,-3.3306927,5
LQG Agri,NA,Goose Lane Upper Quinton Stratford-Upon-Avon - Warwickshire,01789 720265 ,info@lqgagri.co.uk,52.1177118,-1.7414156,5
M Baker Engineering Ltd,TA19 9DX,Ashwell Farm Ilminster - Somerset TA19 9DX,01460 55757 ,mbakereng@gmail.com,50.9395256,-2.9079022,5
Maher Tractor Sales Limited,A85 YR66,The Bush Dunshaughlin - Co.Meath A85 YR66,+353 18259175 ,mahertractorsales@eircom.net,53.4771756,-6.5040998,5
Mark Weatherhead,NA,Ashworth House St Neots Road Hardwick Cambridge - Cambridgeshire,01954 210355 ,sales@markweatherhead.co.uk,52.2186012,-0.0008542,5
McKeever Tractors,NA,91 Largy Road Portglenone - Co Antrim,+353 28 2582 1338 ,info@mckeevertractors.com,54.8344143,-6.4444014,5
McLaren Tractors,IV15 9QF,5 Strathpeffer Road Dingwall - IV15 9QF,01349 867521 ,sales@mclarentractors.co.uk,57.5999408,-4.444456,5
Moore Farm Services,DN11 8NF,Snape Lane Harworth Doncaster - South Yorkshire DN11 8NF,01302 759969 ,Moore Farm Services,53.4116523,-1.0664472,5
N & S Moorhouse Ltd, S75 1HS,Cress Grange Garage Claycliffe Road Barnsley - South Yorkshire S75 1HS,01226 779400 ,nandsmoorehouse@btconnect.com,53.5688612,-1.5218602,5
Newton Trailer Centre,CA11 0AY,Church Farm Penrith - Cumbria CA11 0AY,01768 862985 ,tony@newtontrailers.co.uk,54.6772689,-2.8112086,5
Newtown Engineering Co,NE65 7RG,Garleigh Road Morpeth - Northumberland NE65 7RG,01669 620755 ,enqs@newtownengineering.com,55.3087158,-1.9034023,5
O Shea Plant and Hire,NA,Kilkenny Road Castlecomer - Co Kilkenny,+353 56 444 1326 ,richard@osheasales.com,52.787467,-7.210215,5
O’Neill Tractors,BT35 9JE,116 Concession Road Newry - Co. Down. BT35 9JE,028 3086 1526 ,O’Neill Tractors,54.057008,-6.6227115,5
P & D Engineering (Bredon) Ltd,GL20 7EF,Fleet Lane Bredon Tewkesbury - Glos GL20 7EF,01684 772912 ,mike@panddeng.co.uk,52.0239512,-2.123753,5
P.J.S. (Ag. Services) Ltd,RG17 7EX,East Garston Hungerford - Berks RG17 7EX,01488 648685 ,sales@pjsagri.co.uk,51.4882416,-1.4773747,5
Robert H Crawford & Son,PE22 7DU,Frithville Boston - Lincs PE22 7DU,01205 750367 ,sales@rhcrawford.com,53.0374054,-0.0378726,5
Roche Agri. Machinery,Y34 V309,Jamestown Glenmore - Co. Kilkenny Y34 V309,+353 51880248 ,rocheagri@gmail.com,52.3640027,-7.0183174,5
RSM Beare (Stoke Canon) Ltd, EX5 4AX,Stoke Canon Exeter - Devon. EX5 4AX,01392 841322 ,sales@rsmbeare.co.uk,50.7752413,-3.5039852,5
RSM Beare,PL15 7LY,Coad's Green Launceston - Cornwall. PL15 7LY,01566 782100 ,sales@rsmbeare.co.uk,50.5670629,-4.4092422,5
Suffolk Agri Centre,IP31 2JS,Fen Road Pakenham Bury St Edmunds - Suffolk IP31 2JS,01359 232155 ,david.eley@suffagri.co.uk,52.2704737,0.8283795,5
T H Engineering, DG1 1TG,Dalswinton Dumfries - Dumfries & Galloway DG1 1TG,7808769630,th.engineering@hotmail.co.uk,55.1478774,-3.6733668,5
